Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00006","AANAT","None","aralkylamine N-acetyltransferase","Serotonin N-acetyltransferase","ENSG00000129673","Q16613","0.0218986","0.0637567","1.0","By_ingredient","0.1877"
"SMTT00049","ACE","17","Angiotensin I Converting Enzyme","Angiotensin-converting Enzyme","ENSG00000159640","P12821","0.0409673","0.0826373","1.0","By_ingredient","0.1852"
"SMTT00050","ACE2","None","angiotensin I converting enzyme 2","Angiotensin-converting Enzyme 2","ENSG00000130234","Q9BYF1","0.0194889","0.0604666","1.0","By_ingredient","0.1866"
"SMTT00052","ACO2","22","Aconitase 2","Aconitate Hydratase, Mitochondrial","ENSG00000100412","Q99798","0.014652","0.0546754","1.0","By_ingredient","0.1912"
"SMTT00057","ACSF3","16","Acyl-CoA Synthetase Family Member 3","None","ENSG00000176715","None","0.00490769","0.0356932","1.0","By_ingredient","0.2073"
"SMTT00058","ACSL1","None","acyl-CoA synthetase long chain family member 1","Long-chain-fatty-acid--CoA Ligase 1","ENSG00000151726","P33121","0.0409673","0.0826373","1.0","By_ingredient","0.1895"
"SMTT00059","ACSL4","X","Acyl-CoA Synthetase Long Chain Family Member 4","Long-chain-fatty-acid--CoA Ligase 4","ENSG00000068366","O60488","0.0362347","0.0778214","1.0","By_ingredient","0.207"
"SMTT00069","ACVR1","2","Activin A Receptor Type 1","Activin Receptor Type-1","ENSG00000115170","Q04771","0.00735263","0.0421606","1.0","By_ingredient","0.1967"
"SMTT00076","ADAM17","2","ADAM Metallopeptidase Domain 17","Disintegrin And Metalloproteinase Domain-containing Protein 17","ENSG00000151694","P78536","0.0267005","0.0686599","1.0","By_ingredient","0.1714"
"SMTT00098","ADK","10","Adenosine Kinase","Adenosine Kinase","ENSG00000156110","P55263","0.0267005","0.0686599","1.0","By_ingredient","0.1694"
"SMTT00108","ADSL","22","Adenylosuccinate Lyase","None","ENSG00000239900","None","0.00735263","0.0421606","1.0","By_ingredient","0.2126"
"SMTT00114","AGBL1","15","ATP/GTP Binding Protein Like 1","None","ENSG00000273540","None","0.0194889","0.0604666","1.0","By_ingredient","0.1984"
"SMTT00115","AGBL5","2","ATP/GTP Binding Protein Like 5","None","ENSG00000084693","None","0.0194889","0.0604666","1.0","By_ingredient","0.1979"
"SMTT00132","AIMP1","4","Aminoacyl tRNA Synthetase Complex Interacting Multifunctional Protein 1","None","ENSG00000164022","None","0.0338598","0.0756651","1.0","By_ingredient","0.1754"
"SMTT00147","ALAD","9","Aminolevulinate Dehydratase","Delta-aminolevulinic Acid Dehydratase","ENSG00000148218","P13716","0.0338598","0.0756651","1.0","By_ingredient","0.1915"
"SMTT00152","ALDH1A3","15","Aldehyde Dehydrogenase 1 Family Member A3","Aldehyde Dehydrogenase Family 1 Member A3","ENSG00000184254","P47895","0.0290927","0.0709833","1.0","By_ingredient","0.1689"
"SMTT00154","ALDH3A1","None","aldehyde dehydrogenase 3 family member A1","Aldehyde Dehydrogenase, Dimeric NADP-preferring","ENSG00000108602","P30838","0.0386039","0.080027","1.0","By_ingredient","0.1766"
"SMTT00155","ALDH3A2","17","Aldehyde Dehydrogenase 3 Family Member A2","Fatty Aldehyde Dehydrogenase","ENSG00000072210","P51648","0.0338598","0.0756651","1.0","By_ingredient","0.1792"
"SMTT00156","ALDH4A1","1","Aldehyde Dehydrogenase 4 Family Member A1","Delta-1-pyrroline-5-carboxylate Dehydrogenase, Mitochondrial","ENSG00000159423","P30038","0.0314791","0.0733952","1.0","By_ingredient","0.1934"
"SMTT00157","ALDH5A1","6","Aldehyde Dehydrogenase 5 Family Member A1","Succinate-semialdehyde Dehydrogenase, Mitochondrial","ENSG00000112294","P51649","0.0267005","0.0686599","1.0","By_ingredient","0.2082"
"SMTT00159","ALDH7A1","5","Aldehyde Dehydrogenase 7 Family Member A1","Alpha-aminoadipic Semialdehyde Dehydrogenase","ENSG00000164904","P49419","0.0314791","0.0733952","1.0","By_ingredient","0.1891"
"SMTT00187","AMH","19","Anti-Mullerian Hormone","None","ENSG00000104899","None","0.00490769","0.0356932","1.0","By_ingredient","0.1953"
"SMTT00194","AMY2A","None","amylase, alpha 2A (pancreatic)","Pancreatic Alpha-amylase","ENSG00000243480","P04746","0.00573624","0.0387101","1.0","By_ingredient","0.3893"
"SMTT00195","ANG","14","Angiogenin","Angiogenin","ENSG00000214274","P03950","0.014652","0.0546754","1.0","By_ingredient","0.196"
"SMTT00239","APRT","16","Adenine Phosphoribosyltransferase","Adenine Phosphoribosyltransferase","ENSG00000198931","P07741","0.0170734","0.0581309","1.0","By_ingredient","0.2074"
"SMTT00250","ARHGDIA","17","Rho GDP Dissociation Inhibitor Alpha","None","ENSG00000141522","None","0.0243024","0.0660284","1.0","By_ingredient","0.1757"
"SMTT00302","ATP6V1B1","2","ATPase H+ Transporting V1 Subunit B1","None","ENSG00000116039","None","0.00490769","0.0356932","1.0","By_ingredient","0.225"
"SMTT00303","ATP6V1B2","8","ATPase H+ Transporting V1 Subunit B2","V-type Proton ATPase Subunit B, Brain Isoform","ENSG00000147416","P21281","0.00490769","0.0356932","1.0","By_ingredient","0.1736"
"SMTT00304","ATP7A","X","ATPase Copper Transporting Alpha","None","ENSG00000165240","None","0.00735263","0.0421606","1.0","By_ingredient","0.1778"
"SMTT00305","ATP7B","13","ATPase Copper Transporting Beta","None","ENSG00000123191","None","0.00979166","0.0471444","1.0","By_ingredient","0.1697"
"SMTT00326","AXIN1","16","Axin 1","Axin-1","ENSG00000103126","O15169","0.014652","0.0546754","1.0","By_ingredient","0.1892"
"SMTT00327","AXIN2","17","Axin 2","None","ENSG00000168646","None","0.0122248","0.0506489","1.0","By_ingredient","0.173"
"SMTT00363","BCL2L2","None","BCL2 like 2","Bcl-2-like Protein 2","ENSG00000129473","Q92843","0.0290927","0.0709833","1.0","By_ingredient","0.1928"
"SMTT00375","BGN","X","Biglycan","None","ENSG00000182492","None","0.0218986","0.0637567","1.0","By_ingredient","0.1784"
"SMTT00388","BMP15","X","Bone Morphogenetic Protein 15","None","ENSG00000130385","None","0.00245681","0.026213","1.0","By_ingredient","0.2178"
"SMTT00389","BMP2","20","Bone Morphogenetic Protein 2","None","ENSG00000125845","None","0.045677","0.08716","1.0","By_ingredient","0.2052"
"SMTT00390","BMP4","14","Bone Morphogenetic Protein 4","Bone Morphogenetic Protein 4","ENSG00000125378","P12644","0.0386039","0.080027","1.0","By_ingredient","0.196"
"SMTT00404","BRIP1","17","BRCA1 Interacting Protein C-terminal Helicase 1","None","ENSG00000136492","None","0.00735263","0.0421606","1.0","By_ingredient","0.1919"
"SMTT00456","CAD","2","Carbamoyl-phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase","CAD Protein","ENSG00000084774","P27708","0.0267005","0.0686599","1.0","By_ingredient","0.1819"
"SMTT00482","CASP8","2","Caspase 8","Caspase-8","ENSG00000064012","Q14790","0.0242785","0.065996","1.0","By_ingredient","0.3975"
"SMTT00494","CBS","21","Cystathionine-beta-synthase","Cystathionine Beta-synthase","ENSG00000160200","P35520","0.0409673","0.0826373","1.0","By_ingredient","0.1759"
"SMTT00551","CD79B","17","CD79b Molecule","None","ENSG00000007312","None","0.00490769","0.0356932","1.0","By_ingredient","0.1935"
"SMTT00575","CDK7","None","cyclin dependent kinase 7","Cyclin-dependent Kinase 7","ENSG00000134058","P50613","0.0170734","0.0581309","1.0","By_ingredient","0.1832"
"SMTT00577","CDKN1A","6","Cyclin Dependent Kinase Inhibitor 1A","Cyclin-dependent Kinase Inhibitor 1","ENSG00000124762","P38936","0.0310658","0.0728685","1.0","By_ingredient","0.3806"
"SMTT00579","CDKN1C","11","Cyclin Dependent Kinase Inhibitor 1C","None","ENSG00000129757","None","0.0267005","0.0686599","1.0","By_ingredient","0.2027"
"SMTT00583","CDKN2D","19","Cyclin Dependent Kinase Inhibitor 2D","None","ENSG00000129355","None","0.0480233","0.0890106","1.0","By_ingredient","0.2016"
"SMTT00675","CLEC7A","12","C-type Lectin Domain Containing 7A","None","ENSG00000172243","None","0.0218986","0.0637567","1.0","By_ingredient","0.1812"
"SMTT00739","COL7A1","3","Collagen Type VII Alpha 1 Chain","None","ENSG00000114270","None","0.0386039","0.080027","1.0","By_ingredient","0.2055"
"SMTT00769","CP","3","Ceruloplasmin","Ceruloplasmin","ENSG00000047457","P00450","0.0267005","0.0686599","1.0","By_ingredient","0.1775"
"SMTT00770","CPA1","7","Carboxypeptidase A1","Carboxypeptidase A1","ENSG00000091704","P15085","0.0267005","0.0686599","1.0","By_ingredient","0.1892"
"SMTT00771","CPA6","8","Carboxypeptidase A6","None","ENSG00000165078","None","0.0194889","0.0604666","1.0","By_ingredient","0.2132"
"SMTT00775","CPOX","3","Coproporphyrinogen Oxidase","None","ENSG00000080819","None","0.00735263","0.0421606","1.0","By_ingredient","0.1849"
"SMTT00808","CRYM","16","Crystallin Mu","Ketimine Reductase Mu-crystallin","ENSG00000103316","Q14894","0.00735263","0.0421606","1.0","By_ingredient","0.2054"
"SMTT00821","CTBP1","4","C-terminal Binding Protein 1","C-terminal-binding Protein 1","ENSG00000159692","Q13363","0.00026401","0.0064946","1.0","By_ingredient","0.3909"
"SMTT00910","DCLRE1C","10","DNA Cross-link Repair 1C","None","ENSG00000152457","None","0.00245681","0.026213","1.0","By_ingredient","0.2043"
"SMTT00951","DIP2B","12","Disco Interacting Protein 2 Homolog B","None","ENSG00000066084","None","0.00490769","0.0356932","1.0","By_ingredient","0.2039"
"SMTT00988","DNAJC19","3","DnaJ Heat Shock Protein Family (Hsp40) Member C19","None","ENSG00000205981","None","0.00979166","0.0471444","1.0","By_ingredient","0.1924"
"SMTT00995","DNM1L","12","Dynamin 1 Like","None","ENSG00000087470","None","0.0338598","0.0756651","1.0","By_ingredient","0.173"
"SMTT01009","DPM1","20","Dolichyl-phosphate Mannosyltransferase Subunit 1, Catalytic","None","ENSG00000000419","None","0.00490769","0.0356932","1.0","By_ingredient","0.1796"
"SMTT01015","DPYS","8","Dihydropyrimidinase","None","ENSG00000147647","None","0.00979166","0.0471444","1.0","By_ingredient","0.1977"
"SMTT01035","DUSP6","12","Dual Specificity Phosphatase 6","None","ENSG00000139318","None","0.0314791","0.0733952","1.0","By_ingredient","0.1693"
"SMTT01048","ECE1","1","Endothelin Converting Enzyme 1","Endothelin-converting Enzyme 1","ENSG00000117298","P42892","0.0243024","0.0660284","1.0","By_ingredient","0.1847"
"SMTT01049","ECEL1","2","Endothelin Converting Enzyme Like 1","None","ENSG00000171551","None","0.00245681","0.026213","1.0","By_ingredient","0.194"
"SMTT01102","ENO3","17","Enolase 3","Beta-enolase","ENSG00000108515","P13929","0.0122248","0.0506489","1.0","By_ingredient","0.1901"
"SMTT01119","EPM2A","6","EPM2A, Laforin Glucan Phosphatase","None","ENSG00000112425","None","0.0122248","0.0506489","1.0","By_ingredient","0.1904"
"SMTT01128","ERCC2","19","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","None","ENSG00000104884","None","0.0218986","0.0637567","1.0","By_ingredient","0.1928"
"SMTT01196","FANCL","2","Fanconi Anemia Complementation Group L","None","ENSG00000115392","None","0.00979166","0.0471444","1.0","By_ingredient","0.206"
"SMTT01209","FBP1","9","Fructose-bisphosphatase 1","Fructose-1,6-bisphosphatase 1","ENSG00000165140","P09467","0.0170734","0.0581309","1.0","By_ingredient","0.1627"
"SMTT01214","FCER1A","None","Fc fragment of IgE receptor Ia","High Affinity Immunoglobulin Epsilon Receptor Subunit Alpha","ENSG00000179639","P12319","0.0122248","0.0506489","1.0","By_ingredient","0.179"
"SMTT01215","FCER2","None","Fc fragment of IgE receptor II","Low Affinity Immunoglobulin Epsilon Fc Receptor","ENSG00000104921","P06734","0.0409673","0.0826373","1.0","By_ingredient","0.1728"
"SMTT01219","FDPS","1","Farnesyl Diphosphate Synthase","Farnesyl Pyrophosphate Synthase","ENSG00000160752","P14324","0.0218986","0.0637567","1.0","By_ingredient","0.2007"
"SMTT01244","FH","1","Fumarate Hydratase","None","ENSG00000091483","None","0.014652","0.0546754","1.0","By_ingredient","0.1711"
"SMTT01302","FTO","16","FTO, Alpha-ketoglutarate Dependent Dioxygenase","Alpha-ketoglutarate-dependent Dioxygenase FTO","ENSG00000140718","Q9C0B1","0.00735263","0.0421606","1.0","By_ingredient","0.1646"
"SMTT01315","G6PC","17","Glucose-6-phosphatase Catalytic Subunit","None","ENSG00000131482","None","0.0338598","0.0756651","1.0","By_ingredient","0.1866"
"SMTT01332","GALNS","16","Galactosamine (N-acetyl)-6-sulfatase","None","ENSG00000141012","None","0.0122248","0.0506489","1.0","By_ingredient","0.2044"
"SMTT01358","GCSH","16","Glycine Cleavage System Protein H","Glycine Cleavage System H Protein, Mitochondrial","ENSG00000140905","P23434","0.00735263","0.0421606","1.0","By_ingredient","0.2101"
"SMTT01360","GDF1","19","Growth Differentiation Factor 1","None","ENSG00000223802","None","0.00735263","0.0421606","1.0","By_ingredient","0.1934"
"SMTT01362","GDF3","12","Growth Differentiation Factor 3","None","ENSG00000184344","None","0.00245681","0.026213","1.0","By_ingredient","0.2327"
"SMTT01363","GDF5","20","Growth Differentiation Factor 5","Growth/differentiation Factor 5","ENSG00000125965","P43026","0.00245681","0.026213","1.0","By_ingredient","0.2141"
"SMTT01364","GDF6","8","Growth Differentiation Factor 6","None","ENSG00000156466","None","0.00245681","0.026213","1.0","By_ingredient","0.2305"
"SMTT01372","GFPT1","2","Glutamine--fructose-6-phosphate Transaminase 1","None","ENSG00000198380","None","0.00490769","0.0356932","1.0","By_ingredient","0.1783"
"SMTT01405","GLUD1","10","Glutamate Dehydrogenase 1","Glutamate Dehydrogenase 1, Mitochondrial","ENSG00000148672","P00367","0.0409673","0.0826373","1.0","By_ingredient","0.2005"
"SMTT01406","GLUL","1","Glutamate-ammonia Ligase","Glutamine Synthetase","ENSG00000135821","P15104","0.000322167","0.00742765","1.0","By_ingredient","0.3828"
"SMTT01415","GNAI3","1","G Protein Subunit Alpha I3","None","ENSG00000065135","None","0.043325","0.084921","1.0","By_ingredient","0.1914"
"SMTT01507","H6PD","1","Hexose-6-phosphate Dehydrogenase/glucose 1-dehydrogenase","GDH/6PGL Endoplasmic Bifunctional Protein","ENSG00000049239","O95479","0.043325","0.084921","1.0","By_ingredient","0.1705"
"SMTT01553","HK1","10","Hexokinase 1","Hexokinase-1","ENSG00000156515","P19367","0.00245681","0.026213","1.0","By_ingredient","0.2019"
"SMTT01566","HMGCL","1","3-hydroxymethyl-3-methylglutaryl-CoA Lyase","Hydroxymethylglutaryl-CoA Lyase, Mitochondrial","ENSG00000117305","P35914","0.0170734","0.0581309","1.0","By_ingredient","0.1795"
"SMTT01590","HPGD","4","15-hydroxyprostaglandin Dehydrogenase","15-hydroxyprostaglandin Dehydrogenase [NAD(+)]","ENSG00000164120","P15428","0.0386039","0.080027","1.0","By_ingredient","0.1725"
"SMTT01603","HS3ST3A1","None","heparan sulfate-glucosamine 3-sulfotransferase 3A1","Heparan Sulfate Glucosamine 3-O-sulfotransferase 3A1","ENSG00000153976","Q9Y663","0.00490769","0.0356932","1.0","By_ingredient","0.2023"
"SMTT01641","IDH1","2","Isocitrate Dehydrogenase (NADP(+)) 1, Cytosolic","Isocitrate Dehydrogenase [NADP] Cytoplasmic","ENSG00000138413","O75874","0.0194889","0.0604666","1.0","By_ingredient","0.1748"
"SMTT01642","IDH2","15","Isocitrate Dehydrogenase (NADP(+)) 2, Mitochondrial","Isocitrate Dehydrogenase [NADP], Mitochondrial","ENSG00000182054","P48735","0.0122248","0.0506489","1.0","By_ingredient","0.168"
"SMTT01643","IDH3B","20","Isocitrate Dehydrogenase 3 (NAD(+)) Beta","Isocitrate Dehydrogenase [NAD] Subunit Beta, Mitochondrial","ENSG00000101365","O43837","0.0170734","0.0581309","1.0","By_ingredient","0.1908"
"SMTT01717","IMPDH1","7","Inosine Monophosphate Dehydrogenase 1","Inosine-5'-monophosphate Dehydrogenase 1","ENSG00000106348","P20839","0.0170734","0.0581309","1.0","By_ingredient","0.1871"
"SMTT01762","ITPA","20","Inosine Triphosphatase","Inosine Triphosphate Pyrophosphatase","ENSG00000125877","Q9BY32","0.00490769","0.0356932","1.0","By_ingredient","0.1999"
"SMTT01767","IYD","6","Iodotyrosine Deiodinase","Iodotyrosine Deiodinase 1","ENSG00000009765","Q6PHW0","0.0243024","0.0660284","1.0","By_ingredient","0.2051"
"SMTT01792","KCNAB2","1","Potassium Voltage-gated Channel Subfamily A Regulatory Beta Subunit 2","None","ENSG00000069424","None","0.00735263","0.0421606","1.0","By_ingredient","0.1764"
"SMTT01880","KRT1","12","Keratin 1","Keratin, Type II Cytoskeletal 1","ENSG00000167768","P04264","0.014652","0.0546754","1.0","By_ingredient","0.2263"
"SMTT01905","LACC1","13","Laccase Domain Containing 1","None","ENSG00000179630","None","0.00735263","0.0421606","1.0","By_ingredient","0.2154"
"SMTT01931","LEMD2","6","LEM Domain Containing 2","None","ENSG00000161904","None","0.00490769","0.0356932","1.0","By_ingredient","0.2082"
"SMTT01932","LEMD3","12","LEM Domain Containing 3","None","ENSG00000174106","None","0.00490769","0.0356932","1.0","By_ingredient","0.1788"
"SMTT01939","LGSN","None","lengsin, lens protein with glutamine synthetase domain","Lengsin","ENSG00000146166","Q5TDP6","0.0122248","0.0506489","1.0","By_ingredient","0.1829"
"SMTT02033","MAPK1","22","Mitogen-activated Protein Kinase 1","Mitogen-activated Protein Kinase 1","ENSG00000100030","P28482","0.0465577","0.0880315","1.0","By_ingredient","0.3729"
"SMTT02037","MAPK3","None","mitogen-activated protein kinase 3","Mitogen-activated Protein Kinase 3","ENSG00000102882","P27361","0.0233656","0.0651498","1.0","By_ingredient","0.3812"
"SMTT02044","MARS2","2","Methionyl-tRNA Synthetase 2, Mitochondrial","None","ENSG00000247626","None","0.0122248","0.0506489","1.0","By_ingredient","0.1976"
"SMTT02060","MCEE","2","Methylmalonyl-CoA Epimerase","None","ENSG00000124370","None","0.0194889","0.0604666","1.0","By_ingredient","0.1984"
"SMTT02065","MCM6","2","Minichromosome Maintenance Complex Component 6","None","ENSG00000076003","None","0.0170734","0.0581309","1.0","By_ingredient","0.2003"
"SMTT02106","MIF","22","Macrophage Migration Inhibitory Factor","Macrophage Migration Inhibitory Factor","ENSG00000240972","P14174","0.0338598","0.0756651","1.0","By_ingredient","0.1838"
"SMTT02128","MMACHC","1","Methylmalonic Aciduria (cobalamin Deficiency) CblC Type, With Homocystinuria","Methylmalonic Aciduria And Homocystinuria Type C Protein","ENSG00000132763","Q9Y4U1","0.00735263","0.0421606","1.0","By_ingredient","0.1847"
"SMTT02130","MME","None","membrane metalloendopeptidase","Neprilysin","ENSG00000196549","P08473","0.0290927","0.0709833","1.0","By_ingredient","0.149"
"SMTT02131","MMEL1","1","Membrane Metalloendopeptidase Like 1","None","ENSG00000142606","None","0.00245681","0.026213","1.0","By_ingredient","0.2219"
"SMTT02177","MSTN","2","Myostatin","Growth/differentiation Factor 8","ENSG00000138379","O14793","0.00979166","0.0471444","1.0","By_ingredient","0.1771"
"SMTT02200","MVK","12","Mevalonate Kinase","Mevalonate Kinase","ENSG00000110921","Q03426","0.00490769","0.0356932","1.0","By_ingredient","0.1917"
"SMTT02217","MYLK","3","Myosin Light Chain Kinase","None","ENSG00000065534","None","0.0122248","0.0506489","1.0","By_ingredient","0.1998"
"SMTT02236","NAGA","22","Alpha-N-acetylgalactosaminidase","Alpha-N-acetylgalactosaminidase","ENSG00000198951","P17050","0.014652","0.0546754","1.0","By_ingredient","0.1783"
"SMTT02237","NAGLU","17","N-acetyl-alpha-glucosaminidase","Alpha-N-acetylglucosaminidase","ENSG00000108784","P54802","0.00979166","0.0471444","1.0","By_ingredient","0.202"
"SMTT02249","NCF2","1","Neutrophil Cytosolic Factor 2","Neutrophil Cytosol Factor 2","ENSG00000116701","P19878","0.0194889","0.0604666","1.0","By_ingredient","0.1627"
"SMTT02276","NDUFAF5","20","NADH:ubiquinone Oxidoreductase Complex Assembly Factor 5","None","ENSG00000101247","None","0.00979166","0.0471444","1.0","By_ingredient","0.197"
"SMTT02292","NECTIN1","11","Nectin Cell Adhesion Molecule 1","None","ENSG00000110400","None","0.00979166","0.0471444","1.0","By_ingredient","0.1803"
"SMTT02320","NHP2","5","NHP2 Ribonucleoprotein","None","ENSG00000145912","None","0.0170734","0.0581309","1.0","By_ingredient","0.1921"
"SMTT02330","NLGN4X","X","Neuroligin 4, X-linked","None","ENSG00000146938","None","0.014652","0.0546754","1.0","By_ingredient","0.1918"
"SMTT02336","NME1","17","NME/NM23 Nucleoside Diphosphate Kinase 1","Nucleoside Diphosphate Kinase A","ENSG00000239672","P15531","0.000322167","0.00742765","1.0","By_ingredient","0.3653"
"SMTT02337","NME8","7","NME/NM23 Family Member 8","None","ENSG00000086288","None","0.00979166","0.0471444","1.0","By_ingredient","0.2091"
"SMTT02338","NMNAT1","1","Nicotinamide Nucleotide Adenylyltransferase 1","Nicotinamide/nicotinic Acid Mononucleotide Adenylyltransferase 1","ENSG00000173614","Q9HAN9","0.00490769","0.0356932","1.0","By_ingredient","0.1995"
"SMTT02342","NODAL","10","Nodal Growth Differentiation Factor","None","ENSG00000156574","None","0.00245681","0.026213","1.0","By_ingredient","0.1902"
"SMTT02397","NT5E","6","5'-nucleotidase Ecto","5'-nucleotidase","ENSG00000135318","P21589","0.0243024","0.0660284","1.0","By_ingredient","0.181"
"SMTT02412","OAT","10","Ornithine Aminotransferase","Ornithine Aminotransferase, Mitochondrial","ENSG00000065154","P04181","0.0362347","0.0778214","1.0","By_ingredient","0.2122"
"SMTT02413","OBSL1","2","Obscurin Like 1","None","ENSG00000124006","None","0.00735263","0.0421606","1.0","By_ingredient","0.1942"
"SMTT02439","OTC","X","Ornithine Carbamoyltransferase","Ornithine Carbamoyltransferase, Mitochondrial","ENSG00000036473","P00480","0.0290927","0.0709833","1.0","By_ingredient","0.2284"
"SMTT02453","P3H1","1","Prolyl 3-hydroxylase 1","Prolyl 3-hydroxylase 1","ENSG00000117385","Q32P28","0.00490769","0.0356932","1.0","By_ingredient","0.247"
"SMTT02455","P4HB","17","Prolyl 4-hydroxylase Subunit Beta","Protein Disulfide-isomerase","ENSG00000185624","P07237","0.0290927","0.0709833","1.0","By_ingredient","0.1864"
"SMTT02465","PAM16","16","Presequence Translocase Associated Motor 16","None","ENSG00000217930","None","0.00245681","0.026213","1.0","By_ingredient","0.2299"
"SMTT02468","PAPSS2","10","3'-phosphoadenosine 5'-phosphosulfate Synthase 2","None","ENSG00000198682","None","0.00735263","0.0421606","1.0","By_ingredient","0.1761"
"SMTT02469","PARK7","1","Parkinsonism Associated Deglycase","Protein Deglycase DJ-1","ENSG00000116288","Q99497","0.014652","0.0546754","1.0","By_ingredient","0.1741"
"SMTT02492","PCSK1","5","Proprotein Convertase Subtilisin/kexin Type 1","Neuroendocrine Convertase 1","ENSG00000175426","P29120","0.0170734","0.0581309","1.0","By_ingredient","0.182"
"SMTT02493","PCSK2","None","proprotein convertase subtilisin/kexin type 2","Neuroendocrine Convertase 2","ENSG00000125851","P16519","0.0170734","0.0581309","1.0","By_ingredient","0.1709"
"SMTT02494","PCSK9","1","Proprotein Convertase Subtilisin/kexin Type 9","Proprotein Convertase Subtilisin/kexin Type 9","ENSG00000169174","Q8NBP7","0.0409673","0.0826373","1.0","By_ingredient","0.1776"
"SMTT02517","PDSS1","10","Decaprenyl Diphosphate Synthase Subunit 1","None","ENSG00000148459","None","0.0170734","0.0581309","1.0","By_ingredient","0.1925"
"SMTT02518","PDSS2","6","Decaprenyl Diphosphate Synthase Subunit 2","None","ENSG00000164494","None","0.014652","0.0546754","1.0","By_ingredient","0.2041"
"SMTT02522","PEPD","19","Peptidase D","None","ENSG00000124299","None","0.0122248","0.0506489","1.0","By_ingredient","0.2039"
"SMTT02552","PHEX","X","Phosphate Regulating Endopeptidase Homolog X-linked","None","ENSG00000102174","None","0.00245681","0.026213","1.0","By_ingredient","0.1942"
"SMTT02556","PHGDH","1","Phosphoglycerate Dehydrogenase","D-3-phosphoglycerate Dehydrogenase","ENSG00000092621","O43175","0.00026401","0.0064946","1.0","By_ingredient","0.3836"
"SMTT02580","PIK3R1","5","Phosphoinositide-3-kinase Regulatory Subunit 1","Phosphatidylinositol 3-kinase Regulatory Subunit Alpha","ENSG00000145675","P27986","0.0362347","0.0778214","1.0","By_ingredient","0.1933"
"SMTT02594","PKLR","1","Pyruvate Kinase L/R","Pyruvate Kinase PKLR","ENSG00000143627","P30613","0.0480233","0.0890106","1.0","By_ingredient","0.1792"
"SMTT02627","PMM2","16","Phosphomannomutase 2","None","ENSG00000140650","None","0.014652","0.0546754","1.0","By_ingredient","0.1752"
"SMTT02641","PNPO","17","Pyridoxamine 5'-phosphate Oxidase","Pyridoxine-5'-phosphate Oxidase","ENSG00000108439","Q9NVS9","0.00735263","0.0421606","1.0","By_ingredient","0.2153"
"SMTT02642","PNPT1","2","Polyribonucleotide Nucleotidyltransferase 1","None","ENSG00000138035","None","0.00735263","0.0421606","1.0","By_ingredient","0.1892"
"SMTT02696","PPP3CA","None","protein phosphatase 3 catalytic subunit alpha","Serine/threonine-protein Phosphatase 2B Catalytic Subunit Alpha Isoform","ENSG00000138814","Q08209","0.0243024","0.0660284","1.0","By_ingredient","0.1788"
"SMTT02697","PPP5C","None","protein phosphatase 5 catalytic subunit","Serine/threonine-protein Phosphatase 5","ENSG00000011485","P53041","0.0194889","0.0604666","1.0","By_ingredient","0.1843"
"SMTT02715","PRKAG2","7","Protein Kinase AMP-activated Non-catalytic Subunit Gamma 2","5'-AMP-activated Protein Kinase Subunit Gamma-2","ENSG00000106617","Q9UGJ0","0.0290927","0.0709833","1.0","By_ingredient","0.1957"
"SMTT02731","PRODH","22","Proline Dehydrogenase 1","Proline Dehydrogenase 1, Mitochondrial","ENSG00000100033","O43272","0.0170734","0.0581309","1.0","By_ingredient","0.177"
"SMTT02820","RAD51","15","RAD51 Recombinase","DNA Repair Protein RAD51 Homolog 1","ENSG00000285396|ENSG00000051180","Q06609","0.0290927","0.0709833","1.0","By_ingredient","0.1848"
"SMTT02821","RAD51C","17","RAD51 Paralog C","None","ENSG00000108384","None","0.0218986","0.0637567","1.0","By_ingredient","0.1704"
"SMTT02833","RARB","3","Retinoic Acid Receptor Beta","Retinoic Acid Receptor Beta","ENSG00000077092","P10826","0.043325","0.084921","1.0","By_ingredient","0.1669"
"SMTT02856","RDH11","14","Retinol Dehydrogenase 11","Retinol Dehydrogenase 11","ENSG00000072042","Q8TC12","0.043325","0.084921","1.0","By_ingredient","0.1783"
"SMTT02857","RDH12","14","Retinol Dehydrogenase 12","Retinol Dehydrogenase 12","ENSG00000139988","Q96NR8","0.0480233","0.0890106","1.0","By_ingredient","0.1707"
"SMTT02864","REG1A","None","regenerating family member 1 alpha","Lithostathine-1-alpha","ENSG00000115386","P05451","0.0170734","0.0581309","1.0","By_ingredient","0.1891"
"SMTT02882","RGS9","17","Regulator Of G Protein Signaling 9","None","ENSG00000108370","None","0.00979166","0.0471444","1.0","By_ingredient","0.206"
"SMTT02898","RNASE3","None","ribonuclease A family member 3","Eosinophil Cationic Protein","ENSG00000169397","P12724","0.00735263","0.0421606","1.0","By_ingredient","0.1915"
"SMTT02899","RNASEH1","2","Ribonuclease H1","None","ENSG00000171865","None","0.0194889","0.0604666","1.0","By_ingredient","0.1863"
"SMTT02929","RPIA","2","Ribose 5-phosphate Isomerase A","Ribose-5-phosphate Isomerase","ENSG00000153574","P49247","0.00735263","0.0421606","1.0","By_ingredient","0.1892"
